Seller Platform,Seller SKU,Manufacture,Manufacture Code,Product Title,Description,Packaging,Qty,Categories,Subcategories,Product Page link,Attachment URL,Image link,Attributes
Pure life dental,1068001, PureLife Dental,1068001,NeoPure Green Chloroprene Powder-Free,"
        ,Features,
        ,Powder-free chloroprene exam gloves,Green in color,Latex-free,    ",100/box,100/box,Gloves,-1,https://www.purelifedental.com/product/gloves/neopure-green-chloroprene-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1068001.jpg,-1
Pure life dental,1061201, PureLife Dental,1061201,SuperNova Nitrile Powder-Free,"
        ,Features,
        ,Revolutionary stretchy nitrile provides superior comfort and increased tactile sensitivity,Textured fingertips,Violet-blue in color,Packaging contains at least 70% recycled material,    ",200/box,200/box,Gloves,-1,https://www.purelifedental.com/product/gloves/supernova-nitrile-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1061203.jpg,-1
Pure life dental,1068001, PureLife Dental,1068001,NeoPure Green Chloroprene Powder-Free,"
        ,Features,
        ,Powder-free chloroprene exam gloves,Green in color,Latex-free,    ",100/box,100/box,Gloves - Chloroprene Powder-Free,-1,https://www.purelifedental.com/product/gloves/gloves-chloroprene-powder-free/neopure-green-chloroprene-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1068001.jpg,-1
Pure life dental,1020101, PureLife Dental,1020101,PureSkin Latex Powder-Free,"
        ,Features,
        ,Fully-textured,Polymer-coated,Packaging contains at least 70% recycled material,    ",100/box,100/box,Gloves - Latex Powder-Free,-1,https://www.purelifedental.com/product/gloves/gloves-latex-powder-free/pureskin-latex-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1020101_1.jpg,-1
Pure life dental,1021701, PureLife Dental,1021701,PureBliss Latex Powder-Free,"
        ,Features,
        ,PureLife donates a portion of the proceeds from the sale of this glove to health and environmental causes,Fully-textured,Polymer-coated for an easy fit,Packaging contains at least 85% recycled material,    ",100/box,100/box,Gloves - Latex Powder-Free,-1,https://www.purelifedental.com/product/gloves/gloves-latex-powder-free/purebliss-latex-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1021701_1.jpg,-1
Pure life dental,1141101, PureLife Dental,1141101,PureLife Biological Evacuation Line Cleaner,"
        ,Features,
        ,Proprietary enzymatic formulation provides residual action against bacteria,pH neutral,Works well in hot or cold water,Non-foaming; safe for use with amalgam separators,Fresh scent; made with natural deodorants,    ",1 bottle,1 bottle,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-biological-evacuation-line-cleaner.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/1/1141101.jpg,-1
Pure life dental,1081101, PureLife Dental,1081101,"PureLife Tray Covers ""B"" Ritter","
        ,Features,
        ,8 1/2"" x 12 1/4"",Made with high-quality paper stock,    ",1000/case,1000/case,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-tray-covers-b-ritter.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1081101.jpg,-1
Pure life dental,1091001, PureLife Dental,WPPLAQ,PureLife BioBib 3-ply,"
        ,Features,
        ,Premium eco-friendly bib made with 100% recycled paper,3-ply super-durable, absorbent paper with protective poly moisture barrier,Carton contains more than 30% recycled material,13"" x 19"", tear-resistant,    ",500/case,500/case,PureLife Collection - Bibs,-1,https://www.purelifedental.com/product/purelife-collection/bibs/purelife-biobib-3-ply.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1091001.jpg,-1
Pure life dental,1132701, PureLife Dental,1132601,PureLife Applicator Brushes,"
        ,Features,
        ,Micro-applicator brush with a bendable neck for easy placement of material in difficult areas,Used to apply sealant, etch, adhesives, etc.,Non-linting, all-purpose,    ",400/box,400/box,PureLife Collection - Brushes,-1,https://www.purelifedental.com/product/purelife-collection/brushes/purelife-applicator-brushes.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/1/1132701.jpg,-1
Pure life dental,1090101, PureLife Dental,1090101,PureLife BioBib 2-ply,"
        ,Features,
        ,The eco-friendly bib, made with 100% recycled content paper,2-ply extra thick paper with protective poly moisture barrier,Carton contains more than 30% recycled material,13"" x 19"", tear-resistant,    ",500/case,500/case,PureLife Collection - Bibs,-1,https://www.purelifedental.com/product/purelife-collection/bibs/purelife-biobib-2-ply.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1090101.jpg,-1
